Item,Item_Code,SPAM_crop_num,SPAM_name,SPAM_name_abr,GAEZres06,GAEZres04,GAEZres04_group4mean,group_name,animal_bd_name,group_name_v2,group_name_v3,group_name_v4,group_name_v5,group_name_v6,group_name_v7,spam_2000,spam_2005,spam_2010,spam_2020
Onions; dry,403,41,vegetables,vege,veg,oni,,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,ONIO,ONIO,ONIO
String beans,423,14,bean,bean,veg,,Pulses,"Legumes, nuts, and seeds",,"Other legumes, nuts, and seeds","Legumes, nuts, and seeds","Legumes, nuts, and seeds",Vegetables,Vegetables,Fruit and vegetables,,BEAN,BEAN,BEAN
Garlic,406,41,vegetables,vege,veg,,Allium,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,ONIO,ONIO,ONIO
Leeks; other alliaceous vegetables,407,41,vegetables,vege,veg,,Allium,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,ONIO,ONIO,ONIO
Beans; green,414,14,bean,bean,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,BEAN,BEAN,BEAN
Peas; green,417,19,other pulses,opul,veg,,Peas,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,BEAN,BEAN,BEAN
Vegetables; leguminous nes,420,19,other pulses,opul,veg,,Peas,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Carrots and turnips,426,13,other roots,orts,veg,car,,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,ORTS,ORTS,ORTS
Maize; green,446,3,maize,maiz,mze,mze,,Grains,,Grains,Grains,Grains,Grains,Grains,"Grains, roots, starchy carbohydrates",,MAIZ,MAIZ,MAIZ
Mushrooms and truffles,449,41,vegetables,vege,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Vegetables; fresh nes,463,41,vegetables,vege,veg,,Vegetables,Vegetables,,Vegetables,Vegetables,Vegetables,Vegetables,Vegetables,Fruit and vegetables,,VEGE,VEGE,VEGE
Bananas,486,37,banana,bana,ban,ban,,Fruit,,Bananas and plantains,Fruit,Tropical fruit,Bananas,Bananas,Fruit and vegetables,,BANA,BANA,BANA
Plantains and others,489,38,plantain,plnt,ban,ban,,Fruit,,Bananas and plantains,Fruit,Tropical fruit,Vegetables,Vegetables,Fruit and vegetables,,PLNT,PLNT,PLNT
Oranges,490,40,temperate fruit,temf,frt,cit,,Fruit,,Citrus fruit,Fruit,Temperate fruit,Citrus fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,CITR
Tangerines; mandarins; clementines; satsumas,495,40,temperate fruit,temf,frt,cit,,Fruit,,Citrus fruit,Fruit,Temperate fruit,Citrus fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,CITR
Lemons and limes,497,40,temperate fruit,temf,frt,cit,,Fruit,,Citrus fruit,Fruit,Temperate fruit,Citrus fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,CITR
Grapefruit (inc. pomelos),507,40,temperate fruit,temf,frt,cit,,Fruit,,Citrus fruit,Fruit,Temperate fruit,Citrus fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,CITR
Apples,515,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Pears,521,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Quinces,523,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Tropical fruit,Tropical fruit,Tropical fruit,Fruit and vegetables,,TROF,TROF,TROF
Apricots,526,39,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Cherries; sour,530,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Cherries,531,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Peaches and nectarines,534,39,tropical fruit,trof,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Tropical fruit,Tropical fruit,Tropical fruit,Fruit and vegetables,,TROF,TROF,TROF
Plums and sloes,536,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Strawberries,544,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Raspberries,547,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Gooseberries,549,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
Currants,550,40,temperate fruit,temf,frt,,Fruit_and_nuts,Fruit,,Fruit,Fruit,Temperate fruit,Temperate fruit,Temperate fruit,Fruit and vegetables,,TEMF,TEMF,TEMF
